country_code,country,area_type_code,area_type,year,value
ALB,Albania,RUR,Rural area,2000,38.78251692
ALB,Albania,RUR,Rural area,2001,39.22369912
ALB,Albania,RUR,Rural area,2002,39.66488133
ALB,Albania,RUR,Rural area,2003,40.10606353
ALB,Albania,RUR,Rural area,2004,40.54724574
ALB,Albania,RUR,Rural area,2005,41.411553
ALB,Albania,RUR,Rural area,2006,42.2771946
ALB,Albania,RUR,Rural area,2007,43.14417053
ALB,Albania,RUR,Rural area,2008,44.01248081
ALB,Albania,RUR,Rural area,2009,44.88212542
ALB,Albania,RUR,Rural area,2010,45.75310436
ALB,Albania,RUR,Rural area,2011,46.62541765
ALB,Albania,RUR,Rural area,2012,47.49906527
ALB,Albania,RUR,Rural area,2013,48.37404723
ALB,Albania,RUR,Rural area,2014,49.25036353
ALB,Albania,RUR,Rural area,2015,50.12801417
ALB,Albania,RUR,Rural area,2016,51.00699914
ALB,Albania,RUR,Rural area,2017,51.88731845
ALB,Albania,RUR,Rural area,2018,52.7689721
ALB,Albania,RUR,Rural area,2019,53.27286369
ALB,Albania,RUR,Rural area,2020,53.60535792
ALB,Albania,_T,Total,2000,40.23741599
ALB,Albania,_T,Total,2001,40.52089533
ALB,Albania,_T,Total,2002,40.80820221
ALB,Albania,_T,Total,2003,41.08650252
ALB,Albania,_T,Total,2004,41.3557192
ALB,Albania,_T,Total,2005,41.87565502
ALB,Albania,_T,Total,2006,42.39121173
ALB,Albania,_T,Total,2007,42.8911399
ALB,Albania,_T,Total,2008,43.37534517
ALB,Albania,_T,Total,2009,43.8438649
ALB,Albania,_T,Total,2010,44.29658365
ALB,Albania,_T,Total,2011,44.73359433
ALB,Albania,_T,Total,2012,45.15484031
ALB,Albania,_T,Total,2013,45.56157447
ALB,Albania,_T,Total,2014,45.95406239
ALB,Albania,_T,Total,2015,46.33301305
ALB,Albania,_T,Total,2016,46.69888959
ALB,Albania,_T,Total,2017,47.05228993
ALB,Albania,_T,Total,2018,47.39384501
ALB,Albania,_T,Total,2019,47.57714147
ALB,Albania,_T,Total,2020,47.69108212
ALB,Albania,URB,Urban area,2000,42.26805655
ALB,Albania,URB,Urban area,2001,42.28060068
ALB,Albania,URB,Urban area,2002,42.29314481
ALB,Albania,URB,Urban area,2003,42.30568894
ALB,Albania,URB,Urban area,2004,42.31823307
ALB,Albania,URB,Urban area,2005,42.40468822
ALB,Albania,URB,Urban area,2006,42.51564934
ALB,Albania,URB,Urban area,2007,42.62674663
ALB,Albania,URB,Urban area,2008,42.73798011
ALB,Albania,URB,Urban area,2009,42.84934977
ALB,Albania,URB,Urban area,2010,42.96085562
ALB,Albania,URB,Urban area,2011,43.07249764
